MSDM,pretrained,train,dev,test
,,,attention_rescoring,attention_rescoring
conformer_u++,No,No,68.1,86.28
conformer_u++,No,Yes,14.45,36.37
conformer_u++,Yes,Yes,10.21,22.92
paraformer,No,No,372.64,387.08
paraformer,No,Yes,48.51,21.56
paraformer,Yes,Yes,7.74,14.26
wav2vec,Yes,No,70.04,76.36
wav2vec,Yes,Yes,11.17,26.05
whisper,Yes,No,148.64,125.98
whisper,Yes,Yes,9.52,17.65
Qwen2-Audio,Yes,No,169.91,180.56
Qwen2-Audio,Yes,Yes,10.56,19.49
---------------,-----------------,-----------,---------------------,---------------------
CDSD,pretrained,train,dev,test
---------------,-----------------,-----------,---------------------,---------------------
,,,attention_rescoring,attention_rescoring
conformer_u++,No,No,64.25,75.99
conformer_u++,No,Yes,45.27,68.49
conformer_u++,Yes,Yes,26.83,56.6
paraformer,No,No,342.48,417.79
paraformer,No,Yes,85.55,106.3
paraformer,Yes,Yes,13.73,37.62
wav2vec,Yes,No,70.06,76.46
wav2vec,Yes,Yes,46.24,62.19
whisper,Yes,No,128.6,201.65
whisper,Yes,Yes,50.94,68.75
Qwen2-Audio,Yes,No,80.63,91.9
Qwen2-Audio,Yes,Yes,30.08,43.4
---------------,-----------------,-----------,---------------------,---------------------
VoiceBank,pretrained,train,dev,test
---------------,-----------------,-----------,---------------------,---------------------
,,,attention_rescoring,attention_rescoring
conformer_u++,No,No,39.07,29.3
conformer_u++,No,Yes,1.19,2.07
conformer_u++,Yes,Yes,0.73,1.41
paraformer,No,No,361.16,334.33
paraformer,No,Yes,98.84,98.84
paraformer,Yes,Yes,5.17,4.12
wav2vec,Yes,No,38.63,30.53
wav2vec,Yes,Yes,11.1,8.21
whisper,Yes,No,1098.99,857.59
whisper,Yes,Yes,3.46,2.59
Qwen2-Audio,Yes,No,34.46,38.37
Qwen2-Audio,Yes,Yes,1.78,1.93
---------------,-----------------,-----------,---------------------,---------------------
UASPEECH,pretrained,train,dev,test
---------------,-----------------,-----------,---------------------,---------------------
,,,attention_rescoring,attention_rescoring
conformer_u++,No,No,125.07,85.97
conformer_u++,No,Yes,98.55,98.57
conformer_u++,Yes,Yes,35.52,22.29
paraformer,No,No,124.47,118.17
paraformer,No,Yes,76.16,73.64
paraformer,Yes,Yes,50.49,43.21
wav2vec,Yes,No,106.9,133.37
wav2vec,Yes,Yes,67.97,57.16
whisper,Yes,No,366.17,167.82
whisper,Yes,Yes,45.56,35.97
Qwen2-Audio,Yes,No,114.59,125.9
Qwen2-Audio,Yes,Yes,39.32,33.17
---------------,-----------------,-----------,---------------------,---------------------
TORGO,pretrained,train,dev,test
---------------,-----------------,-----------,---------------------,---------------------
,,,attention_rescoring,attention_rescoring
conformer_u++,No,No,43.38,82.62
conformer_u++,No,Yes,97.36,97.15
conformer_u++,Yes,Yes,38.93,63.7
paraformer,No,No,115.77,115.22
paraformer,No,Yes,100.39,100.98
paraformer,Yes,Yes,99.04,87.69
wav2vec,Yes,No,31.74,69.79
wav2vec,Yes,Yes,-----,121.47
whisper,Yes,No,45.93,101.74
whisper,Yes,Yes,36.46,68.55
Qwen2-Audio,Yes,No,100.07,103.62
Qwen2-Audio,Yes,Yes,85.25,94.28
